key,value,date
CHEMBL424,0,2019-10-01
CHEMBL1530428,0,2019-10-01
CHEMBL3940890,0,2019-10-01
CHEMBL411685,0,2019-10-01
CHEMBL1396,0,2019-10-01
CHEMBL206452,0,2019-10-01
CHEMBL1454,0,2019-10-01
CHEMBL83527,0,2019-10-01
CHEMBL469448,0,2019-10-01
CHEMBL345046,0,2019-10-01
CHEMBL405821,0,2019-10-01
CHEMBL1697717,0,2019-10-01
CHEMBL1201119,0,2019-10-01
CHEMBL1201248,0,2019-10-01
CHEMBL1689064,0,2019-10-01
CHEMBL640,0,2019-10-01
CHEMBL301141,0,2019-10-01
CHEMBL4297455,0,2019-10-01
CHEMBL1279,0,2019-10-01
CHEMBL47,0,2019-10-01
CHEMBL473,0,2019-10-01
CHEMBL1201089,0,2019-10-01
CHEMBL14830,0,2019-10-01
CHEMBL1697733,0,2019-10-01
CHEMBL1423,0,2019-10-01
CHEMBL26215,0,2019-10-01
CHEMBL1082,0,2019-10-01
CHEMBL1131,0,2019-10-01
CHEMBL41,0,2019-10-01
CHEMBL2146126,0,2019-10-01
CHEMBL1214598,0,2019-10-01
CHEMBL47386,0,2019-10-01
CHEMBL80830,0,2019-10-01
CHEMBL333950,0,2019-10-01
CHEMBL1115,0,2019-10-01
CHEMBL3184986,0,2019-10-01
CHEMBL25,0,2019-10-01
CHEMBL1201129,0,2019-10-01
CHEMBL4297607,0,2019-10-01
CHEMBL1790041,0,2019-10-01
CHEMBL74415,0,2019-10-01
CHEMBL877,0,2019-10-01
CHEMBL1201187,0,2019-10-01
CHEMBL1484,0,2019-10-01
CHEMBL3707348,0,2019-10-01
CHEMBL3646221,0,2019-10-01
CHEMBL45,0,2019-10-01
CHEMBL1401508,0,2019-10-01
CHEMBL1256987,0,2019-10-01
CHEMBL2103741,0,2019-10-01
CHEMBL451930,0,2019-10-01
CHEMBL76688,0,2019-10-01
CHEMBL191,0,2019-10-01
CHEMBL476,0,2019-10-01
CHEMBL17157,0,2019-10-01
CHEMBL1230165,0,2019-10-01
CHEMBL1673195,0,2019-10-01
CHEMBL403,0,2019-10-01
CHEMBL2023898,0,2019-10-01
CHEMBL2040682,0,2019-10-01
CHEMBL3544984,0,2019-10-01
CHEMBL614,0,2019-10-01
CHEMBL90039,0,2019-10-01
CHEMBL507352,0,2019-10-01
CHEMBL1200694,0,2019-10-01
CHEMBL777,0,2019-10-01
CHEMBL1159662,0,2019-10-01
CHEMBL79,0,2019-10-01
CHEMBL1259059,0,2019-10-01
CHEMBL1201202,0,2019-11-01
CHEMBL1256,0,2019-11-01
CHEMBL1292,0,2019-11-01
CHEMBL600,0,2019-11-01
CHEMBL461522,0,2019-11-01
CHEMBL235363,0,2019-11-01
CHEMBL792,0,2019-11-01
CHEMBL1410,0,2019-11-01
CHEMBL916,0,2019-11-01
CHEMBL2095209,0,2019-11-01
CHEMBL1200820,0,2019-11-01
CHEMBL16264,0,2019-11-01
CHEMBL429910,0,2019-11-01
CHEMBL231779,0,2019-11-01
CHEMBL960,0,2019-11-01
CHEMBL38827,0,2019-11-01
CHEMBL3989408,0,2019-11-01
CHEMBL1311,0,2019-11-01
CHEMBL372795,0,2019-11-01
CHEMBL1355,0,2019-11-01
CHEMBL464792,0,2019-11-01
CHEMBL231884,0,2019-11-01
CHEMBL58510,0,2019-11-01
CHEMBL1789941,0,2019-11-01
CHEMBL11298,0,2019-11-01
CHEMBL34259,0,2019-11-01
CHEMBL1771,0,2019-11-01
CHEMBL4297088,0,2019-11-01
CHEMBL547,0,2019-11-01
CHEMBL42710,0,2019-11-01
CHEMBL925,0,2019-11-01
CHEMBL460026,0,2019-11-01
CHEMBL389621,0,2019-11-01
CHEMBL1794794,0,2019-11-01
CHEMBL902,0,2019-11-01
CHEMBL1233584,0,2019-11-01
CHEMBL3,0,2019-11-01
CHEMBL1234886,0,2019-11-01
CHEMBL1620,0,2019-11-01
CHEMBL848,0,2019-11-01
CHEMBL59,0,2019-11-01
CHEMBL483,0,2019-11-01
CHEMBL437472,0,2019-11-01
CHEMBL409153,0,2019-11-01
CHEMBL592868,0,2019-11-01
